Link Record ID#,Campaign Type,Campaign - Initiative - Page Name,Campaign  Name - Look up,Campaign Name,Link URL,Link Domain,Original URL,Page Rank - URL,Page Rank - Domain,Anchor Text,Anchor Text Type,Inbound URL,Inbound URL Type,Link Location,Date Reported,Date T1 Sent,Link Type,Customer Name,Related Campaign,ULD,Campaign - Initiative Record ID# - Marketing Project - Page Type,Campaign - Email Marketing Actual Send Out Date
6295,RMI,V2 Web Hosting,Rev_Webhosting_FB,Rev_Webhosting_FB,http://tek-ritr.com/web_2016/resources/,http://tek-ritr.com,http://writeprofessionally.org/content_manage/schedule/week-14-april-13/,0,0,Reviews.com,Exact,http://www.reviews.com/,Home page,Middle,08-19-2016,07-15-2016,Misc,Reviews.com,4922,,Vertical Review,07-15-2016
6296,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_C_S39FB,TSD_DisabiltiesCalc_C_S39FB,http://www.autismprojectofpalmbeachcounty.org/#!resources/vprj9,http://www.autismprojectofpalmbeachcounty.org/,http://www.autismproject.org/therapies.aspx,0,0,Social Security Disability Finance Guide,Mic,thesimpledollar.com/disability-benefits-guide,Internal,Top,08-19-2016,06-30-2016,Organization,Thesimpledollar.com,4877,y,TSD Volume,06-30-2016
6297,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,http://www.financeyourfutureu.com/archives/842,http://www.financeyourfutureu.com,http://www.financeyourfutureu.com,0,0,TheSimpleDollar.com,URL,thesimpledollar.com,Home,Middle,08-19-2016,11-30-2015,Blog,TheSimpleDollar.com,5021,y,TSD Volume,08-05-2016
6298,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,http://www.financeyourfutureu.com/archives/842,http://www.financeyourfutureu.com,http://www.financeyourfutureu.com,0,0,Debt Payoff Calculator,Misc,thesimpledollar.com/debt-payoff-calculator,Internal,Middle,08-19-2016,11-30-2015,Blog,TheSimpleDollar.com,5021,,TSD Volume,08-05-2016
6299,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,http://www.jvis.com/links/student.htm,http://www.jvis.com,,0,0,Debt Payoff Calculator,Misc,thesimpledollar.com/debt-payoff-calculator,Internal,Middle,08-19-2016,11-30-2015,Misc,TheSimpleDollar.com,5021,y,TSD Volume,08-05-2016
6300,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,http://tamayoassurance.com/tamayoassuranceweb_005.htm,http://tamayoassurance.com,http://www.tamayoassurance.com/credit.htm,0,0,http://www.thesimpledollar.com/debt-payoff-calculator/,URL,thesimpledollar.com/debt-payoff-calculator,Internal,Middle,08-19-2016,11-30-2015,Misc,TheSimpleDollar.com,5021,y,TSD Volume,08-05-2016
6301,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,http://www.mx.emailarray.com.jvis.com/links/student.htm,http://www.mx.emailarray.com.jvis.com,http://www.jvis.com/links/student.htm,0,0,Debt Payoff Calculator,Misc,thesimpledollar.com/debt-payoff-calculator,Internal,Middle,08-19-2016,11-30-2015,Misc,TheSimpleDollar.com,5021,y,TSD Volume,08-05-2016
6302,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,http://adaawe.ca/links/,http://adaawe.ca/,,0,0,Debt Pay Off Calculator – The Simple Dollar,Partial,http://www.thesimpledollar.com/debt-payoff-calculator/,Internal,Middle,08-19-2016,02-03-2016,Misc,TheSimpleDollar.com,5021,y,TSD Volume,08-05-2016
6303,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,http://grandharboragent.com/mortgage_info.html,http://grandharboragent.com,,0,1,"Debt Payoff Calculator 
http://www.thesimpledollar.com/debt-payoff-calculator/",Misc,thesimpledollar.com/debt-payoff-calculator,Internal,Top,08-19-2016,11-30-2015,Misc,TheSimpleDollar.com,5021,y,TSD Volume,08-05-2016
6304,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,https://www.uhd.edu/student-resources/career/Pages/career-financial-information.aspx,https://www.uhd.edu/,,0,6,Debt Payoff Calculator– The Simple Dollar,Partial,http://www.thesimpledollar.com/debt-payoff-calculator/,Internal,Middle,08-19-2016,11-30-2015,.EDU,TheSimpleDollar.com,5021,y,TSD Volume,08-05-2016
6305,RMI,Debt Payoff Calculator,TSD_DebtCalculator_FB_PT2,TSD_DebtCalculator_FB_PT2,http://www.woodbridge.k12.nj.us/Page/17819,http://www.woodbridge.k12.nj.us,,0,0,http://www.thesimpledollar.com/debt-payoff-calculator/,URL,thesimpledollar.com/debt-payoff-calculator,Internal,Bottom,08-19-2016,01-13-2016,K12,Thesimpledollar.com,5021,y,TSD Volume,08-05-2016
6306,RMI,Best High Interest Savings Accounts,TSD_BestHighInterestSavingAcct_FB,TSD_BestHighInterestSavingAcct_FB,http://www.wesaveproject.org/resources/,http://www.wesaveproject.org/,,0,0,http://www.thesimpledollar.com/,URL,thesimpledollar.com,Home,Top,08-26-2016,07-22-2016,Organization,Thesimpledollar.com,4949,y,TSD High Value,07-22-2016
6307,RMI,V2 Affordable Online Colleges,TSD_AffordableOnlineColleges_PT2,TSD_AffordableOnlineColleges_PT2,http://www.stemcityphl.org/scholarshipsandgrants/,http://www.stemcityphl.org/,,0,0,The Simple Dollar,Exact,http://www.thesimpledollar.com/category/education/,Internal,Middle,08-26-2016,07-08-2016,Organization,Thesimpledollar.com,4909,,TSD High Value,07-08-2016
6308,RMI,V2 Affordable Online Colleges,TSD_AffordableOnlineColleges_PT2,TSD_AffordableOnlineColleges_PT2,http://www.stemcityphl.org/scholarshipsandgrants/,http://www.stemcityphl.org/,,0,0,Most Affordable Online Colleges for 2016,Misc,http://www.thesimpledollar.com/affordable-online-colleges/,Internal,Middle,08-26-2016,07-08-2016,Organization,Thesimpledollar.com,4909,y,TSD High Value,07-08-2016
6309,RMI,V2 Affordable Online Colleges,TSD_AffordableOnlineColleges_PT2,TSD_AffordableOnlineColleges_PT2,http://www.stemcityphl.org/scholarshipsandgrants/,http://www.stemcityphl.org/,,0,0,How to Save the Most When Choosing an Online College,Misc,http://www.thesimpledollar.com/affordable-online-colleges/#how-to-save-the-most-when-choosing-an-online-college,Internal,Middle,08-26-2016,07-08-2016,Organization,Thesimpledollar.com,4909,,TSD High Value,07-08-2016
6310,RMI,V2 Affordable Online Colleges,TSD_AffordableOnlineColleges_PT2,TSD_AffordableOnlineColleges_PT2,http://www.stemcityphl.org/scholarshipsandgrants/,http://www.stemcityphl.org/,,0,0,Information about The FAFSA,Misc,http://www.thesimpledollar.com/affordable-online-colleges/#the-fafsa,Internal,Middle,08-26-2016,07-08-2016,Organization,Thesimpledollar.com,4909,,TSD High Value,07-08-2016
6311,RMI,V2 Affordable Online Colleges,TSD_AffordableOnlineColleges_PT2,TSD_AffordableOnlineColleges_PT2,http://www.stemcityphl.org/scholarshipsandgrants/,http://www.stemcityphl.org/,,0,0,Student Budget Calculator,Misc,http://www.thesimpledollar.com/affordable-online-colleges/#student-budget-calculator,Internal,Middle,08-26-2016,07-08-2016,Organization,Thesimpledollar.com,4909,,TSD High Value,07-08-2016
6312,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_B_S39FB,TSD_DisabiltiesCalc_B_S39FB,http://www.medchi.org/Resources/Patient-Public-Resources,http://www.medchi.org,http://medchi.org/resources/public-resources/external-links,0,5,http://www.thesimpledollar.com/disability-benefits-guide/,URL,thesimpledollar.com/disability-benefits-guide,Internal,Middle,08-23-2016,06-23-2016,Organization,Thesimpledollar.com,4851,y,TSD Volume,06-23-2016
